,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2002-03-06,14.819999694824219,16.59000015258789,14.819999694824219,16.329999923706055,16.329999923706055,14262700,AMZN,-7.6956015,14.250000000000002,0.0,24.025601387023926
2002-03-11,16.040000915527344,16.8799991607666,15.859999656677246,16.709999084472656,16.709999084472656,6624700,AMZN,-7.580623,14.250000000000002,0.0,24.290622234344482
2002-03-15,14.270000457763672,14.289999961853027,13.550000190734863,14.029999732971191,14.029999732971191,12320700,AMZN,-7.2603564,13.949999809265137,0.0,21.290356159210205
2002-03-28,14.399999618530273,14.649999618530273,14.25,14.300000190734863,14.300000190734863,3122500,AMZN,-7.334703,14.52999973297119,-21.634703159332275,0.0
2002-04-02,14.640000343322754,15.09000015258789,14.1899995803833,14.25,14.25,4771400,AMZN,-7.292628,14.0600004196167,0.0,21.542627811431885
2002-04-08,12.970000267028809,13.960000038146973,12.960000038146973,13.949999809265137,13.949999809265137,5277800,AMZN,-7.8817167,16.18000030517578,-21.831716537475586,0.0
2002-04-09,14.069999694824219,14.59000015258789,13.5600004196167,13.600000381469727,13.600000381469727,6459000,AMZN,-8.062614,16.690000534057617,-21.662614822387695,0.0
2002-04-10,13.760000228881836,14.0,13.050000190734863,13.479999542236328,13.479999542236328,5256700,AMZN,-8.273466,16.489999771118164,-21.75346565246582,0.0
2002-04-25,16.510000228881836,17.049999237060547,16.40999984741211,16.81999969482422,16.81999969482422,11730200,AMZN,-8.622049,19.610000610351562,-25.442049026489258,0.0
2002-04-30,16.1299991607666,16.760000228881836,15.930000305175781,16.690000534057617,16.690000534057617,6420800,AMZN,-8.8768,18.760000228881836,-25.566800117492676,0.0
2002-05-01,16.549999237060547,17.049999237060547,16.420000076293945,16.489999771118164,16.489999771118164,7701300,AMZN,-8.607682,18.75,-25.097681999206543,0.0
2002-05-03,16.229999542236328,16.399999618530273,15.75,16.049999237060547,16.049999237060547,5161000,AMZN,-7.794463,19.469999313354492,-23.844462394714355,0.0
2002-05-09,17.1200008392334,18.229999542236328,17.100000381469727,17.729999542236328,17.729999542236328,11002300,AMZN,-5.9854765,18.229999542236328,-23.715476036071777,0.0
2002-05-13,17.170000076293945,17.6299991607666,16.850000381469727,17.31999969482422,17.31999969482422,6700100,AMZN,-5.50171,17.969999313354492,-22.821709632873535,0.0
2002-05-29,18.81999969482422,19.100000381469727,18.799999237060547,18.90999984741211,18.90999984741211,3614100,AMZN,-3.0344145,18.299999237060547,0.0,21.944414377212524
2002-06-03,18.309999465942383,18.5,17.93000030517578,17.959999084472656,17.959999084472656,3716400,AMZN,-2.9037678,17.510000228881836,0.0,20.86376690864563
2002-06-05,17.979999542236328,18.18000030517578,17.450000762939453,17.989999771118164,17.989999771118164,4372500,AMZN,-3.2618816,15.850000381469727,0.0,21.25188136100769
2002-06-20,18.31999969482422,18.3799991607666,17.34000015258789,17.549999237060547,17.549999237060547,8697000,AMZN,-5.43917,15.430000305175783,0.0,22.989169120788574
2002-06-25,16.889999389648438,16.950000762939453,15.039999961853027,15.34000015258789,15.34000015258789,15304000,AMZN,-5.625627,16.15999984741211,-20.965627193450928,0.0
2002-06-28,15.6899995803833,16.360000610351562,15.399999618530273,16.25,16.25,6237900,AMZN,-6.759047,15.500000000000002,0.0,23.009047031402588
2002-07-02,13.600000381469727,14.15999984741211,13.0,13.319999694824219,13.319999694824219,8669900,AMZN,-7.58685,14.100000381469728,-20.90684986114502,0.0
2002-07-08,14.949999809265137,15.850000381469727,14.680000305175781,14.9399995803833,14.9399995803833,5890000,AMZN,-8.430894,14.329999923706055,0.0,23.370893478393555
2002-07-18,15.920000076293945,16.59000015258789,15.529999732971191,15.550000190734863,15.550000190734863,6856700,AMZN,-6.9985766,13.899999618530272,0.0,22.548576831817627
2002-07-31,14.449999809265137,14.65999984741211,14.140000343322754,14.449999809265137,14.449999809265137,3801000,AMZN,-9.506781,15.380000114440918,-23.956780433654785,0.0
2002-08-08,13.239999771118164,14.100000381469727,13.0600004196167,13.899999618530273,13.899999618530273,5470800,AMZN,-8.274436,15.140000343322754,-22.17443561553955,0.0
2002-08-12,14.140000343322754,14.489999771118164,13.949999809265137,14.460000038146973,14.460000038146973,3503300,AMZN,-8.104594,14.600000381469727,-22.564594268798828,0.0
2002-08-16,14.390000343322754,15.010000228881836,14.3100004196167,14.899999618530273,14.899999618530273,3652100,AMZN,-8.050779,16.510000228881836,-22.95077896118164,0.0
2002-08-19,14.84000015258789,15.520000457763672,14.670000076293945,15.5,15.5,4277100,AMZN,-7.9624834,17.1299991607666,-23.462483406066895,0.0
2002-08-22,15.329999923706055,15.949999809265137,14.920000076293945,15.729999542236328,15.729999542236328,6854100,AMZN,-7.5812807,16.610000610351562,-23.311280250549316,0.0
2002-09-05,14.579999923706055,14.720000267028809,14.239999771118164,14.25,14.25,5320200,AMZN,-7.893079,17.149999618530273,-22.143078804016113,0.0
2002-09-10,16.530000686645508,17.350000381469727,16.420000076293945,17.1299991607666,17.1299991607666,11248800,AMZN,-7.579601,16.950000762939453,0.0,24.70959997177124
2002-09-12,16.829999923706055,17.1299991607666,16.610000610351562,16.75,16.75,7065100,AMZN,-7.223604,16.75,0.0,0.0
2002-09-13,16.690000534057617,16.989999771118164,16.5,16.610000610351562,16.610000610351562,3654900,AMZN,-7.0816383,16.549999237060547,0.0,23.691638946533203
2002-09-20,17.450000762939453,17.639999389648438,15.449999809265137,15.859999656677246,15.859999656677246,12605600,AMZN,-6.045298,18.459999084472656,-21.90529775619507,0.0
2002-09-24,15.869999885559082,16.3700008392334,15.600000381469727,15.930000305175781,15.930000305175781,7072900,AMZN,-6.425669,18.940000534057617,-22.355669498443604,0.0
2002-10-02,16.809999465942383,17.639999389648438,16.700000762939453,17.010000228881836,17.010000228881836,8223600,AMZN,-6.9838743,19.75,-23.993874549865723,0.0
2002-10-21,18.889999389648438,19.530000686645508,18.719999313354492,19.260000228881836,19.260000228881836,6757700,AMZN,-4.6314344,19.0,0.0,23.89143466949463
2002-10-22,19.010000228881836,19.90999984741211,18.899999618530273,19.3799991607666,19.3799991607666,8645700,AMZN,-4.448061,19.81999969482422,-23.828060150146484,0.0
2002-10-23,19.520000457763672,19.81999969482422,19.3700008392334,19.75,19.75,6648100,AMZN,-4.18757,20.40999984741211,-23.937570095062256,0.0
2002-10-28,19.280000686645508,19.729999542236328,18.399999618530273,18.59000015258789,18.59000015258789,8799800,AMZN,-3.7812793,22.420000076293945,-22.37127947807312,0.0
2002-10-29,18.510000228881836,18.920000076293945,18.06999969482422,18.56999969482422,18.56999969482422,7242000,AMZN,-3.9242775,21.290000915527344,-22.494277238845825,0.0
2002-11-20,21.350000381469727,23.0,21.219999313354492,22.899999618530273,22.899999618530273,13294400,AMZN,-2.875205,22.299999237060547,0.0,25.7752046585083
2002-11-21,23.329999923706055,23.850000381469727,23.209999084472656,23.399999618530273,23.399999618530273,11288500,AMZN,-2.6914861,22.18000030517578,0.0,26.091485738754272
2002-12-11,21.670000076293945,22.3799991607666,21.6200008392334,22.1299991607666,22.1299991607666,6387300,AMZN,1.1002563,20.520000457763672,0.0,21.02974283695221
2002-12-18,22.25,22.260000228881836,21.979999542236328,22.100000381469727,22.100000381469727,3992800,AMZN,0.70575845,21.31999969482422,0.0,21.39424192905426
2002-12-24,22.18000030517578,22.280000686645508,21.8799991607666,21.8799991607666,21.8799991607666,2348600,AMZN,0.5704697,21.799999237060547,0.0,21.30952948331833
2003-01-07,20.829999923706055,21.75,20.600000381469727,21.549999237060547,21.549999237060547,9568200,AMZN,-3.4673414,22.079999923706055,-25.017340660095215,0.0
2003-01-08,21.440000534057617,21.600000381469727,20.81999969482422,21.020000457763672,21.020000457763672,6981500,AMZN,-3.2376518,21.81999969482422,-24.257652282714844,0.0
2003-01-10,20.959999084472656,21.65999984741211,20.809999465942383,21.31999969482422,21.31999969482422,7579300,AMZN,-2.5723298,22.15999984741211,-23.892329454421997,0.0
2003-01-15,22.59000015258789,22.610000610351562,21.940000534057617,22.270000457763672,22.270000457763672,6989400,AMZN,-1.3317468,22.09000015258789,0.0,23.601747274398804
2003-01-23,21.540000915527344,22.040000915527344,21.149999618530273,21.790000915527344,21.790000915527344,10998000,AMZN,-0.7512025,20.059999465942383,0.0,22.541203439235687
2003-02-03,21.940000534057617,22.440000534057617,21.81999969482422,22.15999984741211,22.15999984741211,5195500,AMZN,-1.1726391,21.8799991607666,0.0,23.33263897895813
2003-02-14,19.989999771118164,20.229999542236328,19.709999084472656,20.059999465942383,20.059999465942383,6625300,AMZN,-0.93543744,22.8799991607666,-20.995436906814575,0.0
2003-02-21,21.350000381469727,21.829999923706055,21.040000915527344,21.780000686645508,21.780000686645508,7207800,AMZN,-1.5771675,24.709999084472656,-23.357168197631836,0.0
2003-03-11,22.75,22.920000076293945,22.510000228881836,22.780000686645508,22.780000686645508,4034100,AMZN,0.24174063,25.540000915527344,-22.53826005756855,0.0
2003-03-20,26.34000015258789,27.6299991607666,26.1299991607666,27.450000762939453,27.450000762939453,9376200,AMZN,1.7510372,25.670000076293945,0.0,25.698963522911072
2003-03-21,27.709999084472656,27.950000762939453,27.040000915527344,27.93000030517578,27.93000030517578,10657700,AMZN,2.1789045,25.75,0.0,25.75109577178955
